name,inventory_type,extant_status,street_address,neighborhood,city,postal_code,explore_url,wikipedia_url,explore_id,identifier:mihp,building_use,associated_people,associated_organizations,full_description,year_built,chap_district,city_council_district,latitude,longitude,stabilization_potential,at_risk,featured-context,year_nonextant,year_start_significance,year_end_significance,property_type,related_context,related_theme,alternate_name,marker-color,marker-symbol,featured_description,description_source,description_status,state,geo_accuracy,marker-size,related_sources,chap_landmark,nr_district_contributing,nr_district,nr_landmark,image_url_manual,image_caption,image_credit,tags,streetview_url,streetname,possible_duplicate,explore_todo,Record Created
Arena Playhouse,building,Extant,801 McCulloh Street,Seton Hill,Baltimore,21201,,,,,Theatre,,,"Arena Players began in 1953 when the founding members—Jimmie Bell, Bernard Byrd, Doris Dilver, Aurthur Thurogood, Irvin Turner, Joe Wilson, Julius Wilson, and Sam Wilson—staged “Hello Out There,” William Soroyan’s one act drama. Arena Players began as an outgrowth of “The Negro Little Theater.” This group spent ten years staging plays in a variety of locations including Coppin State University, the Druid Hill Avenue Branch of the YMCA, the Great Hall Theater of St. Mary’s Church in the Walbrook neighborhood, and the Carl J. Murphy Auditorium at Morgan State University. In 1962, the group moved into its present location at 801 McCulloh Street and established the Arena Playhouse. In 1969, the group purchased the building by using box office receipts and contributions from the founding members. From the 1950s through the 1970s, the Arena Players served as one of the only venues dedicated to showcasing the works of black playwrights and performers.",1962,,11,39.29874335,-76.62279022,,,,,1962,1976,,"1929-1954,1954-1968,1968-1976","Employment,Public Accommodation",,d63b0e,theatre,,arenaplayersincorporated_history,excerpt,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.29874335,-76.62279021517",McCulloh,,,7/20/2017 12:48pm
Armory Plaza,landscape,Extant,219 29th Division Street,Madison Park,Baltimore,21201,,,,,Public Space,,,"The development of the Armory Plaza demolished a block of African American occupied homes located adjacent to the Fifth Regiment Armory and was promoted, in part, as a strategy of the Mount Royal Protective Association to maintain racial segregation within the adjoining white occupied area.",,,11,39.30338500,-76.62157800,,,,,,,Conflict Center,,Housing,,d63b0e,parking,,,notes,MD,9,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.303385,-76.621578",,,,7/20/2017 12:48pm
"Arundel Ice Cream Store, Northwood Plaza",building,Unknown,1520 Havenwood Road,Hillen,Baltimore,21218,,,,,Restaurant,,"Morgan State University,Civic Interest Group",Students from Morgan State College and other student members of the Civic Interest Group organized protests at this location during their campaign to desegregate public accomodations at the Northwood Plaza shopping center.,,,3,39.34058150,-76.59126533,,,,,,,Conflict Center,,Public Accommodation,,f7a38b,ice-cream,,,notes,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3405815,-76.5912653333333",,,,7/20/2017 12:48pm
Back River Neck,district,Partial,,,Baltimore County,,,,,,,,,"In the 19th century, this area was primarily rural. The community grew around St. Stephen's African Methodist Episcopal Church, which purchased land on Back River Neck Road in 1878. Few historic buildings remain today.",,,,39.30335400,-76.43291500,,,,,,,,,Housing,,,,,,,MD,,medium,,,,,,http://www.prattlibrary.org/uploadedImages/www/locations/central/african_american/Map_Images/backriverneck.jpg,Typical houses on Back River Neck Road.,E.H.T. Traceries/Baltimore County Office of Planning,,"https://maps.google.com/?layer=c&cbll=39.303354,-76.432915",,,,7/20/2017 12:48pm
Baltimore City Hall,building,Extant,100 N. Holliday Street,,Baltimore,21202,https://explore.baltimoreheritage.org/items/show/67,https://en.wikipedia.org/wiki/Baltimore_City_Hall,67,B-60,Civic building,"Harry S. Cummings,Victorine Q. Adams",,"Baltimore City Hall was the site of numerous important meetings, protests, and pickets by both Civil RIghts advocates and opponents of Civil Rights efforts.",1876,,,39.28471000,-76.59612000,,,,1876,,1976,Conflict Center,"1831-1870,1870-1905,1905-1929,1929-1954,1954-1968,1968-1976",Voting,,d63b0e,town-hall,,Maryland Inventory of Historic Places,notes,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.28471,-76.59612",,,,7/20/2017 12:48pm
Baltimore Jail,building,Partial,,Penn-Fallsway,Baltimore,,,,,,,,,"The Baltimore Jail was first established and built in 1801. During the early 19th century, the Jail was used to hold enslaved people who had escaped to Baltimore or who had been captured while traveling through the area on their way to a free state. The Jail was rebuilt in 1858-59.",1858-59,,12,39.30094700,-76.60970500,,,,,,,,,Criminal Injustice,,d63b0e,prison,,,draft,MD,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.300947,-76.609705",,,,7/20/2017 12:48pm
Baltimore Normal School/Howard Normal School,building,Nonextant,,Downtown,Baltimore,,,,,,,,,Approximate location of the Baltimore Normal School from the 1860s through the late 1800s [ending date unknown].,,,11,39.29237413,-76.61399603,,,,,,,,"1831-1870,1870-1905",,,#7e7e7e,college,,,,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.29237413,-76.61399603",,,,7/20/2017 12:48pm
Baltimore Polytechnic Institute (North Avenue),building,Extant,200 E. North Avenue,Charles North,Baltimore,21202,,,,,School,,,,1913,,12,39.31202610,-76.61542440,,,1929-1954,,1952,,,1929-1954,Education,,d63b0e,school,,,missing,MD,school,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3120261,-76.6154244",,,,7/20/2017 12:48pm
Baltimore Urban League (office),building,Extant,2404 Pennsylvania Avenue,Penn North,Baltimore,21217,,,,,Office building,,,"Established in 1924, the Baltimore Urban League is a local chapter National Urban League—a Civil Rights organization that started in New York City as the Committee on Urban Conditions Among Negroes was founded in New York City on September 29, 1910. This is a prior location of the organization's offices.",,,7,39.30942645,-76.64207912,,,,,,,,,,,d63b0e,suitcase,,,draft,MD,house,medium,Coleman Directories,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.30942645,-76.6420791167215",,,,7/20/2017 12:48pm
Bare Hills,district,Partial,,,Baltimore County,,,,,,,,,Bare Hills is one of the oldest African American neighborhoods in the county. Reverend Aquila Scott purchased 2 acres here in 1839 and held church services in his home. The community grew around him. The majority of the houses here were built between 1870 and 1930.,,,,39.38241100,-76.65594600,,,,,,,,,Housing,,,,,,,MD,,medium,,,,,,http://www.prattlibrary.org/uploadedImages/www/locations/central/african_american/Map_Images/barehills.jpg,Houses on Falls Road in Bare Hills.,E.H.T. Traceries/Baltimore County Office of Planning,,"https://maps.google.com/?layer=c&cbll=39.382411,-76.655946",,,,7/20/2017 12:48pm
Belltown,district,Partial,,,Baltimore County,,,,,,,,,"Belltown grew with the Mount Pleasant African Methodist Episcopal Church, first built in 1867. The current building for Mount Pleasant AME was built in 1994-1995. Little evidence remains of the historic community - most of the houses were built in the mid 20th century.",,,,39.42382900,-76.80168600,,,,,,,,,Housing,,,,,,,MD,,medium,,,,,,http://www.prattlibrary.org/uploadedImages/www/locations/central/african_american/Map_Images/belltown.jpg,Mid 20th century homes in Belltown.,E.H.T. Traceries/Baltimore County Office of Planning,,"https://maps.google.com/?layer=c&cbll=39.423829,-76.801686",,,,7/20/2017 12:48pm
Bengies,district,Unknown,,,Baltimore County,,,,,,,,,"Bengies was an agrarian neighborhood for much of the 20th century. The Sharp Street United Methodist Church and accompanying school, built in the 1900s or 1910s, fostered growth. Many men here were employed by the railroad.",,,,39.34372400,-76.39540700,,,,,,,,,Housing,,,,,,,MD,,medium,,,,,,http://www.prattlibrary.org/uploadedImages/www/locations/central/african_american/Map_Images/bengies.jpg,Representative street in the Bengies Historic Survey District.,E.H.T. Traceries/Baltimore County Office of Planning,,"https://maps.google.com/?layer=c&cbll=39.343724,-76.395407",,,,7/20/2017 12:48pm
Benjamin Banneker School No. 113,building,Partial,Greenmont Avenue and E. Federal Street,Greenmount Cemetery,Baltimore,21202,,,,B-4637,School,,,Original 1895 building is demolished? 1931 building survives,1895; addition 1931,,12,39.30797100,-76.60895800,,,,,,,,"1870-1905,1905-1929,1929-1954",Education,Colored Primary #10,d63b0e,school,,Maryland Inventory of Historic Places,notes,MD,3,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.307971,-76.608958",,,,7/20/2017 12:48pm
Bernard Ades Residence,building,Unknown,1703 East Baltimore Street,Washington Hill,Baltimore,21231,,,,,Dwelling,Bernard Ades,,Bernard Ades appears to have lived at this East Baltimore Street address in the late 1920s or early 1930s. He previously lived at 4413 Garrison Avenue/Boulevard – possibly his childhood home.,,Washington Hill,13,39.29145900,-76.59346800,,,,,,,,"1905-1929,1929-1954",,,f7a38b,building,,,,MD,,medium,,,,,,,,,Confederate memory,"https://maps.google.com/?layer=c&cbll=39.291459,-76.593468",,,,7/20/2017 12:48pm
Bethel A.M.E. Church,building,Extant,1300 Druid Hill Avenue,Upton,Baltimore,21217,,,,B-123,Religious building,,,,1868,Upton's Marble Hill,11,39.30186135,-76.62908182,,,1905-1929,,1910,1976,,"1905-1929,1929-1954,1954-1968",,St. Peter's P.E. Church,d63b0e,religious-christian,,Maryland Inventory of Historic Places,missing,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.30186135,-76.6290818236561",Druid Hill,,,7/20/2017 12:48pm
Bethel AME Church (site),building,Nonextant,Saratoga Street,Downtown,Baltimore,,,,,,,,,Approximate location of Bethel AME Church from 1815 to 1909.,,,11,39.29227449,-76.60957038,,,,,,,,"1831-1870,1870-1905,1905-1929",,,#7e7e7e,religious-christian,,,,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.29227449,-76.60957038",,,,7/20/2017 12:48pm
Bethel AME Church Parsonage,building,Extant,,Mount Vernon,Baltimore,,,,,,,,,Location of the Bethel AME Church Parsonage - dates unknown.,,Mount Vernon,11,39.29574934,-76.61491871,,,,,,,,,,,#7e7e7e,building,,,,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.29574934,-76.61491871",,,,7/20/2017 12:48pm
Bethlehem Sparrows Point Shipyard,district,Partial,,,Baltimore,,,https://en.wikipedia.org/wiki/Bethlehem_Sparrows_Point_Shipyard,,,,,,"On July 26, 1943, black workers were admitted to training classes for riveters at the Sparrow's Point Shipyard. The following day, white workers went on strike protesting the move and the compay closed the training courses. The black workers responded with a strike of their own and the course eopend on August 2. When the African American workers returned, police arrested six of the men charging three with incitement to riot and others for carring concealed weapons.",,,,39.22381000,-76.49226800,,,,,,,,1929-1954,Employment,,d63b0e,industrial,,sartain_borders_2013,draft,MD,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.22381,-76.492268",,,,7/20/2017 12:48pm
Big Falls,district,Unknown,,,Baltimore County,,,,,,,,,This 19th century town began to attract African Americans with the construction of St. Luke's United Methodist Church in 1867. An African American schoolhouse on Hereford Road remained in use until 1936. It retains much of its historic character.,,,,39.58994800,-76.65122500,,,,,,,,,Housing,,,,,,,MD,,medium,,,,,,http://www.prattlibrary.org/uploadedImages/www/locations/central/african_american/Map_Images/bigfalls.jpg,Homes on Big Falls Road.,E.H.T. Traceries/Baltimore County Office of Planning,,"https://maps.google.com/?layer=c&cbll=39.589948,-76.651225",,,,7/20/2017 12:48pm
Bishop John Hurst Residence,building,Extant,1808 McCulloh Street,Druid Heights,Baltimore,21217,,,,,Dwelling,Bishop John Hurst,,"A native of Haiti, Bishop John Hurst protested conditions of the military occupation of Haiti under the U.S. Marines and proposed replacing white soldiers with black soldiers, creating a black commission to Haiti, and gradually restoring Haiti's sovereignty.",,,11,39.30658845,-76.63307760,,,,,,,Prominent Person,,,,d63b0e,building,,,notes,MD,house,medium,Coleman Directories,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.30658845,-76.6330776",McCulloh,,,7/20/2017 12:48pm
Black Community Information Center (Black Panther Party),building,Extant,1248 N. Gay Street,Broadway East,Baltimore,,,,,,,,Black Panther Party (Baltimore Chapter),,,,12,39.30500900,-76.59330400,,,,,,,,1968-1976,,,,,,,notes,MD,,medium,http://www.itsabouttimebpp.com/Chapter_History/pdf/Baltimore/Baltimore_Chapter_6.pdf,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.305009,-76.593304",,,,7/20/2017 12:48pm
Black Panthers Baltimore Branch Headquarters,building,Extant,1209 North Eden Street,Penn-Fallsway,Baltimore,,,,,,Dwelling,,Black Panther Party (Baltimore Chapter),The first location for the offices of the Baltimore Branch of the Black Panthers.,,,12,39.30461010,-76.59934330,,,1968-1976,,,,,1968-1976,,,f7a38b,suitcase,,,notes,MD,residential,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.301378,-76.606357",,,,7/20/2017 12:48pm
Bliss Forbush Residence,building,Extant,5102 York Road,Radnor-Winston,Baltimore,21212,,,,,Dwelling,Bliss Forbush,,"Bliss Forbush Sr., a Quaker leader and historian, was headmaster of Friends School from 1943 until his retirement in 1960. Forbush recieved a citation from the Baltimore Urban League in 1956.",,,4,39.35041430,-76.61018260,,,,,,,Prominent Person,,,,d63b0e,building,,,draft,MD,house,medium,Coleman Directories,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3504143,-76.6101826",,,,7/20/2017 12:48pm
Blue Jay Restaurant,building,Extant,3107 St. Paul Street,Charles Village,Baltimore,21218,,,,,Restaurant,Chester L. Wickwire,,"In late February 1960 a small group of Johns Hopkins University students began to organize sitins at the Blue Jay restaurant just a few blocks from the school. After a campus concert on the evening of February 22 (sponsored by the Levering YMCA), Duke Ellington went to the Blue Jay with Chester Wickwire and student leaders to protest discriminatory policies. Later the students their efforts to the restaurants near the university that refused to serve African Americans.",,,14,39.32615860,-76.61570840,,,,,1960,,Conflict Center,1954-1968,Public Accommodation,,d63b0e,restaurant,,robertpalumbos_student_1999,excerpt,MD,pub,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3261586,-76.6157084",,,,7/20/2017 12:48pm
Board of Education Offices,building,Nonextant,3 E. 25th Street,Old Goucher,Baltimore,,,,,,Civic building,,,"In August 1963, Baltimore ministers including, Rev. Marcus Wood, Providence Baptist Church; A.J. Payne, Enon Baptist Church; James L. Moore, Sharon Baptist Church; and Octavius Graham, Knox Presbyterian Church participated in a picket line outside the Baltimore Board of Education offices protesting continued school segregation and discriminatory teacher assignments. The building was demolished in the 1990s to make way for the Safeway grocery store parking lot.",,,12,39.31753100,-76.61617000,,,,,,,,1954-1968,Education,,f7a38b,town-hall,,davidmilobsky_power_1994,excerpt,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.317531,-76.61617",,,,7/20/2017 12:48pm
Bond Avenue,district,Unknown,,,Baltimore County,,,,,,,,,"This early 19th century community began attracting African Americans around 1880, with the construction of St. Lukes United Methodist Church, the only African American church in Reisterstown. Bond Avenue was home to Buffalo Soldier Augustus Walley.",,,,39.46366500,-76.82365900,,,,,,,,,Housing,,,,,,,MD,,medium,,,,,,http://www.prattlibrary.org/uploadedImages/www/locations/central/african_american/Map_Images/bondavenue.jpg,Houses on Bond Avenue.,E.H.T. Traceries/Baltimore County Office of Planning,,"https://maps.google.com/?layer=c&cbll=39.463665,-76.823659",,,,7/20/2017 12:48pm
Booker T. Washington Middle School,building,Extant,1301 McCulloh Street,Madison Park,Baltimore,21217,,,,B-5045,School,,,,"1896; additions 1928, 1951",,11,39.30272800,-76.62781000,,,,,,,,1905-1929,Education,Booker T. Washington Junior High School No. 130; Western High School,d63b0e,school,,Maryland Inventory of Historic Places,missing,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.302728,-76.62781",McCulloh,,,7/20/2017 12:48pm
Bradshaw - Philadelphia Road,district,Unknown,,,Baltimore County,,,,,,,,,"This largely agricultural area was settled in the late 1800s. Children had to attend school in Loreley, 4-5 miles away. The historic district was split by the construction of Interstate 95.",,,,39.42445900,-76.39699500,,,,,,,,,Housing,,,,,,,MD,,medium,,,,,,http://www.prattlibrary.org/uploadedImages/www/locations/central/african_american/Map_Images/bradshawphiladelphiaroad.jpg,19th century house on Pfeffers Road. E.H. T. Traceries for the Baltimore County Office of Planning.,E.H.T. Traceries/Baltimore County Office of Planning,,"https://maps.google.com/?layer=c&cbll=39.424459,-76.396995",,,,7/20/2017 12:48pm
Brooklyn First Baptist Church,building,Extant,3801 5th Street,Brooklyn,Baltimore,21225,,,,,,,Ku Klux Klan,"In March 1923, a Klan assembly at the suburban Brooklyn First Baptist Church was ""almost broken up by an angry mob.""",,,10,39.23446000,-76.60465300,,,,,1923,,,1905-1929,,First Baptist Church of Brooklyn,d63b0e,religious-christian,,"jackson_ku_1967, p. 181",,MD,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.23446,-76.604653",,,,7/20/2017 12:48pm
Bureau for Contraceptive Advice/Baltimore Birth Control Clinic,building,Extant,1028 North Broadway,,Baltimore,21205,,,,,,,,"Founded in Baltimore in 1927 with the consultation of Margaret Sanger, The Bureau for Contraceptive Advice was designed to provide birth control to married women needing help with spacing births and limiting their families for health reasons. Due to controversial times, Johns Hopkins and the University of Maryland were both able to persuade their schools deny housing the Bureau, despite being instrumental in its founding. As a result, The Bureau for Contraceptive Advice was opened in a Baltimore row house at 1028 North Broadway. - See more at: https://www.plannedparenthood.org/planned-parenthood-maryland/who-we-are/history-highlights#sthash.scGkXncW.dpuf",,,,39.30256040,-76.59463820,,,,,,,,"1929-1954,1954-1968,1968-1976",,Planned Parenthood of Maryland,,,,,notes,MD,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3025604,-76.5946382",,,,7/20/2017 12:48pm
Campfield,district,Unknown,,,Baltimore County,,,,,,,,,This residential community was settled in the late 19th and early 20th centuries. The area was heavily developed in the late 20th century.,,,,39.35222000,-76.71989000,,,,,,,,,Housing,,,,,,,MD,,medium,,,,,,http://www.prattlibrary.org/uploadedImages/www/locations/central/african_american/Map_Images/campfield.jpg,House in Campfield.,E.H.T. Traceries/Baltimore County Office of Planning,,"https://maps.google.com/?layer=c&cbll=39.35222,-76.71989",,,,7/20/2017 12:48pm
"Campus YMCA, Levering Hall, Johns Hopkins University",building,Extant,3400 N. Charles Street,Johns Hopkins Homewood,Baltimore,21218,,,,,School,Chester L. Wickwire,,"The campus YMCA at Johns Hopkins was located at Levering Hall and joined with the Office of the Chaplain. Beginning in 1953, Chester Wickwire served as both the executive secretary of the YMCA and the university's chaplain. Wickwire and his staff aided in the development of student activism by providing a haven for liberals on an otherwise conservative campus. Out of Lever- ing Hall, Wickwire ran various student life programs such as concerts, dances, and movie screenings while simultaneously organizing political discussions about civil rights, pacifism, the Cold War, and Vietnam. Dr. Wickwire himself had strong liberal views. He was a perennial figure in Baltimore civil rights activity who served on human relations committees, organized protests, and later helped to give protection to the Black Panthers.",,,14,39.32793380,-76.61843750,,,1954-1968,,1953,,Community Group,1954-1968,"Education,Public Accommodation",,d63b0e,college,,robertpalumbos_student_1999,excerpt,MD,restaurant,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3279338,-76.6184375",,,,7/20/2017 12:48pm
Carl J. Murphy Residence,building,Extant,2406 Overland Avenue,Morgan Park,Baltimore,21214,,,,,Dwelling,Carl J. Murphy,,"Dr. Carl J. Murphy, editor of the Afro American newspaper, lived at this house in the Morgan Park neighborhood.",,,3,39.34658110,-76.57729159,,,,,,,Prominent Person,,,,d63b0e,building,,,notes,MD,house,medium,Coleman Directories,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3465811,-76.5772915900244",,,,7/20/2017 12:48pm
Carroll Park,landscape,Extant,2100 Washington Boulevard,Carroll Park,Baltimore,21230,https://explore.baltimoreheritage.org/items/show/116,,116,,Park,,,,,,10,39.27858150,-76.64213573,,,,,,,Conflict Center,,Public Accommodation,,d63b0e,park2,,sarapatenaude_playing_2011,missing,MD,park,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.2785815,-76.6421357271037",,,,7/20/2017 12:48pm
Catonsville High School,building,Extant,106 Bloomsbury Avenue,,Catonsville,21228,,,,BA-2728,,Thurgood Marshall,,"In 1937, Thurgood Marshall lost the NAACP’s case Williams v. Zimmerman, in which he attempted to get Baltimore County to admit an African American student to Catonsville High School. Despite the loss, the case helped to establish the “separate can never be equal” argument that would eventually lead to victory. School building erected in 1910, closed as a school in 1953, now used as the Bloomsbury Recreation Center.",1925,,,39.26826500,-76.73058900,,,1929-1954,,1936,1937,,1929-1954,Education,,d63b0e,school,,pointheritagedevelopmentconsulting_learning_2010,excerpt,MD,9,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.268265,-76.730589",,,,7/20/2017 12:48pm
Centennial M.E. Church,building,Nonextant,Caroline Street and Bank Street,Fells Point,Baltimore,,,,,,,,,"In 1880, a committee to change the policy of only hiring white teachers in Baltimore's segregated black schools was organized. The committee was chaired by Rev. J.H. Riddick, pastor to Centennial M.E. Church that occupied a nearly-new church (dedicated on December 2, 1877) at the northwest corner of Caroline and Bank Streets.",1877,,1,39.28645100,-76.59684000,,,,?,,,,1870-1905,,,f59477,religious-christian,,,notes,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.286451,-76.59684",,,,7/20/2017 12:48pm
Charles Carroll Barrister Elementary School (PS 34),building,Nonextant,,Washington Village/Pigtown,Baltimore,,,,,,,,,"In Septmber 1954, a group of white women picketed Charles Carroll Barrister Elementary School (PS 34) protesting the integration of the school following the Brown decision. That year, the school had 546 white children enrolled and only 11 black children (all in kindergarten). The existing Charles Carroll Barrister Elementary School appears to have been built after 1954 so this has been marked as nonextant",,,10,39.27976500,-76.63595100,,,,,1954,,,1954-1968,Education,,f59477,school,,,,MD,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.279765,-76.635951",,,,7/20/2017 12:48pm
Charm Centre,building,Extant,1811 Pennsylvania Avenue,,Baltimore,21217,,,,,,,,,,,,39.30472120,-76.63791690,,,,,,,,,,,,,,,,MD,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3047212,-76.6379169",,,,7/20/2017 12:48pm
Chase,district,Unknown,,,Baltimore County,,,,,,,,,"Chase was settled in the mid to late 1800s. Sharp Street United Methodist Church, named after the church of the same name in Baltimore, was founded in 1865. Few African Americans remain in the area.",1865,,,39.35285000,-76.38025800,,,,,,,,1870-1905,Housing,,,,,,,MD,,medium,,,,,,http://www.prattlibrary.org/uploadedImages/www/locations/central/african_american/Map_Images/chase.jpg,Typical houses on Eastern Avenue in Chase.,E.H.T. Traceries/Baltimore County Office of Planning,,"https://maps.google.com/?layer=c&cbll=39.35285,-76.380258",,,,7/20/2017 12:48pm
Chattalonee,district,Unknown,,,Baltimore County,,,,,,,,,"Chattalonee grew around the Green Spring United Methodist Church, built in 1865. A school on the church grounds served the children of the area until the 1930s.",,,,39.40758300,-76.74207700,,,,,,,,,Housing,,,,,,,MD,,medium,,,,,,http://www.prattlibrary.org/uploadedImages/www/locations/central/african_american/Map_Images/chattalonee.jpg,Houses on Spring Hill Road.,E.H.T. Traceries/Baltimore County Office of Planning,,"https://maps.google.com/?layer=c&cbll=39.407583,-76.742077",,,,7/20/2017 12:48pm
